Chapter,Chapter Value,Heading,Heading Value
29,Organic chemicals,29.30,Organo-sulphur compounds.
29,Organic chemicals,29.31,Other organo-inorganic compounds.
29,Organic chemicals,29.32,Heterocyclic compounds with oxygen hetero-atom(s) only.
29,Organic chemicals,29.33,Heterocyclic compounds with nitrogen hetero-atom(s) only.
29,Organic chemicals,29.34,"Nucleic acids and their salts, whether or not chemically defined;"
29,Organic chemicals,29.35,Sulphonamides.
29,Organic chemicals,29.36,"Provitamins and vitamins, natural or reproduced by synthesis"
29,Organic chemicals,29.37,"Hormones, prostaglandins, thromboxanes and leukotrienes,"
29,Organic chemicals,29.38,"Glycosides, natural or reproduced by synthesis, and their salts,"
29,Organic chemicals,29.39,"Alkaloids, natural or reproduced by synthesis, and their salts,"
29,Organic chemicals,29.40,
29,Organic chemicals,29.41,Antibiotics.
29,Organic chemicals,29.42,
30,Pharmaceutical products,30.01,"Glands and other organs for organo-therapeutic uses, dried,"
30,Pharmaceutical products,30.02,"Human blood; animal blood prepared for therapeutic,"
30,Pharmaceutical products,30.03,"Medicaments (excluding goods of heading 30.02, 30.05 or 30.06)"
30,Pharmaceutical products,30.04,"Medicaments (excluding goods of heading 30.02, 30.05 or 30.06)"
30,Pharmaceutical products,30.05,"Wadding, gauze, bandages and similar articles (for example,"
30,Pharmaceutical products,30.06,Pharmaceutical goods specified in Note 4 to this Chapter.
31,Fertilisers,31.01,
31,Fertilisers,31.02,"Mineral or chemical fertilisers, nitrogenous."
31,Fertilisers,31.03,"Mineral or chemical fertilisers, phosphatic."
31,Fertilisers,31.04,"Mineral or chemical fertilisers, potassic."
31,Fertilisers,31.05,Mineral or chemical fertilisers containing two or three of the
32,"Tanning or dyeing extracts; tannins and their derivatives; dyes,",32.01,"Tanning extracts of vegetable origin; tannins and their salts,"
32,"Tanning or dyeing extracts; tannins and their derivatives; dyes,",32.02,Synthetic organic tanning substances; inorganic tanning
32,"Tanning or dyeing extracts; tannins and their derivatives; dyes,",32.03,
32,"Tanning or dyeing extracts; tannins and their derivatives; dyes,",32.04,"Synthetic organic colouring matter, whether or not chemically"
32,"Tanning or dyeing extracts; tannins and their derivatives; dyes,",32.05,
32,"Tanning or dyeing extracts; tannins and their derivatives; dyes,",32.06,Other colouring matter; preparations as specified in Note 3 to
32,"Tanning or dyeing extracts; tannins and their derivatives; dyes,",32.07,"Prepared pigments, prepared opacifiers and prepared colours,"
32,"Tanning or dyeing extracts; tannins and their derivatives; dyes,",32.08,Paints and varnishes (including enamels and lacquers) based on
32,"Tanning or dyeing extracts; tannins and their derivatives; dyes,",32.09,Paints and varnishes (including enamels and lacquers) based on
32,"Tanning or dyeing extracts; tannins and their derivatives; dyes,",32.10,
32,"Tanning or dyeing extracts; tannins and their derivatives; dyes,",32.11,
32,"Tanning or dyeing extracts; tannins and their derivatives; dyes,",32.12,Pigments (including metallic powders and flakes) dispersed in
32,"Tanning or dyeing extracts; tannins and their derivatives; dyes,",32.13,"Artists', students' or signboard painters' colours, modifying tints,"
32,"Tanning or dyeing extracts; tannins and their derivatives; dyes,",32.14,"Glaziers' putty, grafting putty, resin cements, caulking"
32,"Tanning or dyeing extracts; tannins and their derivatives; dyes,",32.15,"Printing ink, writing or drawing ink and other inks, whether or"
33,"Essential oils and resinoids; perfumery,",33.01,"Essential oils (terpeneless or not), including concretes and"
33,"Essential oils and resinoids; perfumery,",33.02,Mixtures of odoriferous substances and mixtures (including
33,"Essential oils and resinoids; perfumery,",33.03,
33,"Essential oils and resinoids; perfumery,",33.04,Beauty or make-up preparations and preparations for the care of
33,"Essential oils and resinoids; perfumery,",33.05,Preparations for use on the hair.
33,"Essential oils and resinoids; perfumery,",33.06,"Preparations for oral or dental hygiene, including denture"
33,"Essential oils and resinoids; perfumery,",33.07,"Pre-shave, shaving or after-shave preparations, personal"
34,"Soap, organic surface-active agents, washing preparations,",34.01,Soap; organic surface-active products and preparations for use
34,"Soap, organic surface-active agents, washing preparations,",34.02,Organic surface-active agents (other than soap); surface-active
34,"Soap, organic surface-active agents, washing preparations,",34.03,"Lubricating preparations (including cutting-oil preparations,"
34,"Soap, organic surface-active agents, washing preparations,",34.04,Artificial waxes and prepared waxes.
34,"Soap, organic surface-active agents, washing preparations,",34.05,"Polishes and creams, for footwear, furniture, floors, coachwork,"
34,"Soap, organic surface-active agents, washing preparations,",34.06,
34,"Soap, organic surface-active agents, washing preparations,",34.07,
35,Albuminoidal substances; modified starches;,35.01,"Casein, caseinates and other casein derivatives; casein glues."
35,Albuminoidal substances; modified starches;,35.02,"Albumins (including concentrates of two or more whey proteins,"
35,Albuminoidal substances; modified starches;,35.03,
35,Albuminoidal substances; modified starches;,35.04,
35,Albuminoidal substances; modified starches;,35.05,"Dextrins and other modified starches (for example, pregelatinised"
35,Albuminoidal substances; modified starches;,35.06,"Prepared glues and other prepared adhesives, not elsewhere"
35,Albuminoidal substances; modified starches;,35.07,Enzymes; prepared enzymes not elsewhere specified or included.
36,Explosives; pyrotechnic products; matches;,36.01,
36,Explosives; pyrotechnic products; matches;,36.02,
36,Explosives; pyrotechnic products; matches;,36.03,Safety fuses; detonating cords; percussion or detonating caps;
36,Explosives; pyrotechnic products; matches;,36.04,"Fireworks, signalling flares, rain rockets, fog signals and other"
36,Explosives; pyrotechnic products; matches;,36.05,
36,Explosives; pyrotechnic products; matches;,36.06,Ferro-cerium and other pyrophoric alloys in all forms; articles of
37,Photographic or cinematographic goods,37.01,"Photographic plates and film in the flat, sensitised, unexposed, of"
37,Photographic or cinematographic goods,37.02,"Photographic film in rolls, sensitised, unexposed, of any material"
37,Photographic or cinematographic goods,37.03,"Photographic paper, paperboard and textiles, sensitised,"
37,Photographic or cinematographic goods,37.04,
37,Photographic or cinematographic goods,37.05,
37,Photographic or cinematographic goods,37.06,"Cinematographic film, exposed and developed, whether or not"
37,Photographic or cinematographic goods,37.07,Chemical preparations for photographic uses (other than
38,Miscellaneous chemical products,38.01,Artificial
38,Miscellaneous chemical products,38.02,Activated carbon; activated natural mineral products; animal
38,Miscellaneous chemical products,38.03,
38,Miscellaneous chemical products,38.04,
38,Miscellaneous chemical products,38.05,"Gum, wood or sulphate turpentine and other terpenic oils"
38,Miscellaneous chemical products,38.06,"Rosin and resin acids, and derivatives thereof; rosin spirit and"
38,Miscellaneous chemical products,38.07,
38,Miscellaneous chemical products,38.08,"Insecticides, rodenticides, fungicides, herbicides, anti-sprouting"
38,Miscellaneous chemical products,38.09,"Finishing agents, dye carriers to accelerate the dyeing or fixing of"
38,Miscellaneous chemical products,38.10,Pickling preparations for metal surfaces; fluxes and other
38,Miscellaneous chemical products,38.11,"Anti-knock preparations, oxidation inhibitors, gum inhibitors,"
38,Miscellaneous chemical products,38.12,Prepared rubber accelerators; compound plasticisers for rubber
38,Miscellaneous chemical products,38.13,
38,Miscellaneous chemical products,38.14,
38,Miscellaneous chemical products,38.15,Reaction
38,Miscellaneous chemical products,38.16,
38,Miscellaneous chemical products,38.17,
38,Miscellaneous chemical products,38.18,
38,Miscellaneous chemical products,38.19,
38,Miscellaneous chemical products,38.20,
38,Miscellaneous chemical products,38.21,
38,Miscellaneous chemical products,38.22,"Diagnostic or laboratory reagents on a backing, prepared"
38,Miscellaneous chemical products,38.23,Industrial monocarboxylic fatty acids; acid oils from refining;
38,Miscellaneous chemical products,38.24,Prepared binders for foundry moulds or cores; chemical
38,Miscellaneous chemical products,38.25,"Residual products of the chemical or allied industries, not"
38,Miscellaneous chemical products,38.26,
38,Miscellaneous chemical products,38.27,"Mixtures containing halogenated derivatives of methane, ethane"
39,Plastics and articles thereof,39.01,"Polymers of ethylene, in primary forms."
39,Plastics and articles thereof,39.02,"Polymers of propylene or of other olefins, in primary forms."
39,Plastics and articles thereof,39.03,"Polymers of styrene, in primary forms."
39,Plastics and articles thereof,39.04,"Polymers of vinyl chloride or of other halogenated olefins, in"
39,Plastics and articles thereof,39.05,"Polymers of vinyl acetate or of other vinyl esters, in primary"
39,Plastics and articles thereof,39.06,Acrylic polymers in primary forms.
39,Plastics and articles thereof,39.07,"Polyacetals, other polyethers and epoxide resins, in primary"
39,Plastics and articles thereof,39.08,Polyamides in primary forms.
39,Plastics and articles thereof,39.09,"Amino-resins, phenolic resins and polyurethanes, in primary"
39,Plastics and articles thereof,39.10,
39,Plastics and articles thereof,39.11,Petroleum
39,Plastics and articles thereof,39.12,"Cellulose and its chemical derivatives, not elsewhere specified or"
39,Plastics and articles thereof,39.13,"Natural polymers (for example, alginic acid) and modified"
39,Plastics and articles thereof,39.14,
39,Plastics and articles thereof,39.15,"Waste, parings and scrap, of plastics."
39,Plastics and articles thereof,39.16,Monofilament of which any cross-sectional dimension exceeds
39,Plastics and articles thereof,39.17,"Tubes, pipes and hoses, and fittings therefor (for example, joints,"
39,Plastics and articles thereof,39.18,"Floor coverings of plastics, whether or not self-adhesive, in rolls"
39,Plastics and articles thereof,39.19,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat"
39,Plastics and articles thereof,39.20,"Other plates, sheets, film, foil and strip, of plastics, non-cellular"
39,Plastics and articles thereof,39.21,"Other plates, sheets, film, foil and strip, of plastics."
39,Plastics and articles thereof,39.22,"Baths, shower-baths, sinks, wash-basins, bidets, lavatory pans,"
39,Plastics and articles thereof,39.23,"Articles for the conveyance or packing of goods, of plastics;"
39,Plastics and articles thereof,39.24,"Tableware, kitchenware, other household articles and hygienic"
39,Plastics and articles thereof,39.25,"Builders' ware of plastics, not elsewhere specified or included."
39,Plastics and articles thereof,39.26,Other articles of plastics and articles of other materials of
40,Rubber and articles thereof,40.01,"Natural rubber, balata, gutta-percha, guayule, chicle and similar"
40,Rubber and articles thereof,40.02,"Synthetic rubber and factice derived from oils, in primary forms"
40,Rubber and articles thereof,40.03,
40,Rubber and articles thereof,40.04,
40,Rubber and articles thereof,40.05,"Compounded rubber, unvulcanised, in primary forms or in"
40,Rubber and articles thereof,40.06,"Other forms (for example, rods, tubes and profile shapes) and"
40,Rubber and articles thereof,40.07,
40,Rubber and articles thereof,40.08,"Plates, sheets, strip, rods and profile shapes, of vulcanised rubber"
40,Rubber and articles thereof,40.09,"Tubes, pipes and hoses, of vulcanised rubber other than hard"
40,Rubber and articles thereof,40.10,"Conveyor or transmission belts or belting, of vulcanised rubber."
40,Rubber and articles thereof,40.11,"New pneumatic tyres, of rubber."
40,Rubber and articles thereof,40.12,Retreaded or used pneumatic tyres of rubber; solid or cushion
40,Rubber and articles thereof,40.13,"Inner tubes, of rubber."
40,Rubber and articles thereof,40.14,"Hygienic or pharmaceutical articles (including teats), of"
40,Rubber and articles thereof,40.15,"Articles of apparel and clothing accessories (including gloves,"
40,Rubber and articles thereof,40.16,Other articles of vulcanised rubber other than hard rubber.
40,Rubber and articles thereof,40.17,
41,Raw hides and skins (other than furskins) and leather,41.01,Raw hides and skins of bovine (including buffalo) or equine
41,Raw hides and skins (other than furskins) and leather,41.02,"Raw skins of sheep or lambs (fresh, or salted, dried, limed,"
41,Raw hides and skins (other than furskins) and leather,41.03,"Other raw hides and skins (fresh, or salted, dried, limed, pickled"
41,Raw hides and skins (other than furskins) and leather,41.04,Tanned or crust hides and skins of bovine (including buffalo) or
41,Raw hides and skins (other than furskins) and leather,41.05,"Tanned or crust skins of sheep or lambs, without wool on,"
41,Raw hides and skins (other than furskins) and leather,41.06,"Tanned or crust hides and skins of other animals, without wool"
41,Raw hides and skins (other than furskins) and leather,41.07,"Leather further prepared after tanning or crusting, including"
41,Raw hides and skins (other than furskins) and leather,41.12,
41,Raw hides and skins (other than furskins) and leather,41.13,"Leather further prepared after tanning or crusting, including"
41,Raw hides and skins (other than furskins) and leather,41.14,Chamois (including combination chamois) leather; patent
41,Raw hides and skins (other than furskins) and leather,41.15,"Composition leather with a basis of leather or leather fibre, in"
42,Articles of leather; saddlery and harness;,42.01,
42,Articles of leather; saddlery and harness;,42.02,"Trunks, suit-cases, vanity-cases, executive-cases, brief-cases,"
42,Articles of leather; saddlery and harness;,42.03,"Articles of apparel and clothing accessories, of leather or of"
42,Articles of leather; saddlery and harness;,42.05,
42,Articles of leather; saddlery and harness;,42.06,
43,Furskins and artificial fur; manufactures thereof,43.01,"Raw furskins (including heads, tails, paws and other pieces or"
43,Furskins and artificial fur; manufactures thereof,43.02,"Tanned or dressed furskins (including heads, tails, paws and"
43,Furskins and artificial fur; manufactures thereof,43.03,"Articles of apparel, clothing accessories and other articles of"
43,Furskins and artificial fur; manufactures thereof,43.04,
44,Wood and articles of wood; wood charcoal,44.01,"Fuel wood, in logs, in billets, in twigs, in faggots or in similar"
44,Wood and articles of wood; wood charcoal,44.02,"Wood charcoal (including shell or nut charcoal), whether or not"
44,Wood and articles of wood; wood charcoal,44.03,"Wood in the rough, whether or not stripped of bark or sapwood,"
44,Wood and articles of wood; wood charcoal,44.04,"Hoopwood; split poles; piles, pickets and stakes of wood, pointed"
44,Wood and articles of wood; wood charcoal,44.05,
44,Wood and articles of wood; wood charcoal,44.06,Railway or tramway sleepers (cross-ties) of wood.
44,Wood and articles of wood; wood charcoal,44.07,"Wood sawn or chipped lengthwise, sliced or peeled, whether or"
44,Wood and articles of wood; wood charcoal,44.08,Sheets for veneering (including those obtained by slicing
44,Wood and articles of wood; wood charcoal,44.09,"Wood (including strips and friezes for parquet flooring, not"
44,Wood and articles of wood; wood charcoal,44.10,"Particle board, oriented strand board (OSB) and similar board"
44,Wood and articles of wood; wood charcoal,44.11,"Fibreboard of wood or other ligneous materials, whether or not"
44,Wood and articles of wood; wood charcoal,44.12,"Plywood, veneered panels and similar laminated wood."
44,Wood and articles of wood; wood charcoal,44.13,
44,Wood and articles of wood; wood charcoal,44.14,"Wooden frames for paintings, photographs, mirrors or similar"
44,Wood and articles of wood; wood charcoal,44.15,"Packing cases, boxes, crates, drums and similar packings, of"
44,Wood and articles of wood; wood charcoal,44.16,
44,Wood and articles of wood; wood charcoal,44.17,
44,Wood and articles of wood; wood charcoal,44.18,"Builders' joinery and carpentry of wood, including cellular wood"
44,Wood and articles of wood; wood charcoal,44.19,"Tableware and kitchenware, of wood."
44,Wood and articles of wood; wood charcoal,44.20,Wood marquetry and inlaid wood; caskets and cases for
44,Wood and articles of wood; wood charcoal,44.21,Other articles of wood.
45,Cork and articles of cork,45.01,"Natural cork, raw or simply prepared; waste cork; crushed,"
45,Cork and articles of cork,45.02,
45,Cork and articles of cork,45.03,Articles of natural cork.
45,Cork and articles of cork,45.04,Agglomerated cork (with or without a binding substance) and
46,"Manufactures of straw, of esparto or of other plaiting",46.01,"Plaits and similar products of plaiting materials, whether or not"
46,"Manufactures of straw, of esparto or of other plaiting",46.02,"Basketwork, wickerwork and other articles, made directly to"
47,Pulp of wood or of other fibrous cellulosic material;,47.01,
47,Pulp of wood or of other fibrous cellulosic material;,47.02,
47,Pulp of wood or of other fibrous cellulosic material;,47.03,"Chemical wood pulp, soda or sulphate, other than dissolving"
47,Pulp of wood or of other fibrous cellulosic material;,47.04,"Chemical wood pulp, sulphite, other than dissolving grades."
47,Pulp of wood or of other fibrous cellulosic material;,47.05,
47,Pulp of wood or of other fibrous cellulosic material;,47.06,Pulps of fibres derived from recovered (waste and scrap) paper
47,Pulp of wood or of other fibrous cellulosic material;,47.07,Recovered (waste and scrap) paper or paperboard.
48,"Paper and paperboard; articles of paper pulp,",48.01,
48,"Paper and paperboard; articles of paper pulp,",48.02,"Uncoated paper and paperboard, of a kind used for writing,"
48,"Paper and paperboard; articles of paper pulp,",48.03,
48,"Paper and paperboard; articles of paper pulp,",48.04,"Uncoated kraft paper and paperboard, in rolls or sheets, other"
48,"Paper and paperboard; articles of paper pulp,",48.05,"Other uncoated paper and paperboard, in rolls or sheets, not"
48,"Paper and paperboard; articles of paper pulp,",48.06,"Vegetable parchment, greaseproof papers, tracing papers and"
48,"Paper and paperboard; articles of paper pulp,",48.07,
48,"Paper and paperboard; articles of paper pulp,",48.08,"Paper and paperboard, corrugated (with or without glued flat"
48,"Paper and paperboard; articles of paper pulp,",48.09,"Carbon paper, self-copy paper and other copying or transfer"
48,"Paper and paperboard; articles of paper pulp,",48.10,"Paper and paperboard, coated on one or both sides with kaolin"
48,"Paper and paperboard; articles of paper pulp,",48.11,"Paper, paperboard, cellulose wadding and webs of cellulose"
48,"Paper and paperboard; articles of paper pulp,",48.12,
48,"Paper and paperboard; articles of paper pulp,",48.13,"Cigarette paper, whether or not cut to size or in the form of"
48,"Paper and paperboard; articles of paper pulp,",48.14,Wallpaper and similar wall coverings; window transparencies of
48,"Paper and paperboard; articles of paper pulp,",48.16,"Carbon paper, self-copy paper and other copying or transfer"
48,"Paper and paperboard; articles of paper pulp,",48.17,"Envelopes, letter cards, plain postcards and correspondence"
48,"Paper and paperboard; articles of paper pulp,",48.18,"Toilet paper and similar paper, cellulose wadding or webs of"
48,"Paper and paperboard; articles of paper pulp,",48.19,"Cartons, boxes, cases, bags and other packing containers, of"
48,"Paper and paperboard; articles of paper pulp,",48.20,"Registers, account books, note books, order books, receipt books,"
48,"Paper and paperboard; articles of paper pulp,",48.21,"Paper or paperboard labels of all kinds, whether or not printed."
48,"Paper and paperboard; articles of paper pulp,",48.22,"Bobbins, spools, cops and similar supports of paper pulp, paper"
48,"Paper and paperboard; articles of paper pulp,",48.23,"Other paper, paperboard, cellulose wadding and webs of"
49,"Printed books, newspapers, pictures and other products",49.01,"Printed books, brochures, leaflets and similar printed matter,"
49,"Printed books, newspapers, pictures and other products",49.02,"Newspapers, journals and periodicals, whether or not illustrated"
49,"Printed books, newspapers, pictures and other products",49.03,
49,"Printed books, newspapers, pictures and other products",49.04,
49,"Printed books, newspapers, pictures and other products",49.05,"Maps and hydrographic or similar charts of all kinds, including"
49,"Printed books, newspapers, pictures and other products",49.06,
49,"Printed books, newspapers, pictures and other products",49.07,
49,"Printed books, newspapers, pictures and other products",49.08,Transfers (decalcomanias).
49,"Printed books, newspapers, pictures and other products",49.09,
49,"Printed books, newspapers, pictures and other products",49.10,
49,"Printed books, newspapers, pictures and other products",49.11,Other
50,Silk,50.01,
50,Silk,50.02,
50,Silk,50.03,
50,Silk,50.04,
50,Silk,50.05,
50,Silk,50.06,
50,Silk,50.07,Woven fabrics of silk or of silk waste.
51,"Wool, fine or coarse animal hair; horsehair yarn",51.01,"Wool, not carded or combed."
51,"Wool, fine or coarse animal hair; horsehair yarn",51.02,"Fine or coarse animal hair, not carded or combed."
51,"Wool, fine or coarse animal hair; horsehair yarn",51.03,"Waste of wool or of fine or coarse animal hair, including yarn"
51,"Wool, fine or coarse animal hair; horsehair yarn",51.04,
51,"Wool, fine or coarse animal hair; horsehair yarn",51.05,"Wool and fine or coarse animal hair, carded or combed"
51,"Wool, fine or coarse animal hair; horsehair yarn",51.06,"Yarn of carded wool, not put up for retail sale."
51,"Wool, fine or coarse animal hair; horsehair yarn",51.07,"Yarn of combed wool, not put up for retail sale."
51,"Wool, fine or coarse animal hair; horsehair yarn",51.08,"Yarn of fine animal hair (carded or combed), not put up for"
51,"Wool, fine or coarse animal hair; horsehair yarn",51.09,"Yarn of wool or of fine animal hair, put up for retail sale."
51,"Wool, fine or coarse animal hair; horsehair yarn",51.10,
51,"Wool, fine or coarse animal hair; horsehair yarn",51.11,Woven fabrics of carded wool or of carded fine animal hair.
51,"Wool, fine or coarse animal hair; horsehair yarn",51.12,Woven fabrics of combed wool or of combed fine animal hair.
51,"Wool, fine or coarse animal hair; horsehair yarn",51.13,
52,Cotton,52.01,
52,Cotton,52.02,Cotton waste (including yarn waste and garnetted stock).
52,Cotton,52.03,
52,Cotton,52.04,"Cotton sewing thread, whether or not put up for retail sale."
52,Cotton,52.05,"Cotton yarn (other than sewing thread), containing 85 % or"
52,Cotton,52.06,"Cotton yarn (other than sewing thread), containing less than"
52,Cotton,52.07,Cotton yarn (other than sewing thread) put up for retail sale.
52,Cotton,52.08,"Woven fabrics of cotton, containing 85 % or more by weight of"
52,Cotton,52.09,"Woven fabrics of cotton, containing 85 % or more by weight of"
52,Cotton,52.10,"Woven fabrics of cotton, containing less than 85 % by weight of"
52,Cotton,52.11,"Woven fabrics of cotton, containing less than 85 % by weight of"
52,Cotton,52.12,Other woven fabrics of cotton.
53,Other vegetable textile fibres;,53.01,"Flax, raw or processed but not spun; flax tow and waste"
53,Other vegetable textile fibres;,53.02,"True hemp (Cannabis sativa L.), raw or processed but not spun;"
53,Other vegetable textile fibres;,53.03,"Jute and other textile bast fibres (excluding flax, true hemp and"
53,Other vegetable textile fibres;,53.05,
53,Other vegetable textile fibres;,53.06,Flax yarn.
53,Other vegetable textile fibres;,53.07,Yarn of jute or of other textile bast fibres of heading 53.03.
53,Other vegetable textile fibres;,53.08,Yarn of other vegetable textile fibres; paper yarn.
53,Other vegetable textile fibres;,53.09,Woven fabrics of flax.
53,Other vegetable textile fibres;,53.10,Woven fabrics of jute or of other textile bast fibres of
53,Other vegetable textile fibres;,53.11,
54,Man-made filaments; strip and the like of man-made textile materials,54.01,"Sewing thread of man-made filaments, whether or not put up for"
54,Man-made filaments; strip and the like of man-made textile materials,54.02,"Synthetic filament yarn (other than sewing thread), not put up"
54,Man-made filaments; strip and the like of man-made textile materials,54.03,"Artificial filament yarn (other than sewing thread), not put up"
54,Man-made filaments; strip and the like of man-made textile materials,54.04,Synthetic monofilament of 67 decitex or more and of which no
54,Man-made filaments; strip and the like of man-made textile materials,54.05,
54,Man-made filaments; strip and the like of man-made textile materials,54.06,
54,Man-made filaments; strip and the like of man-made textile materials,54.07,"Woven fabrics of synthetic filament yarn, including woven"
54,Man-made filaments; strip and the like of man-made textile materials,54.08,"Woven fabrics of artificial filament yarn, including woven"
55,Man-made staple fibres,55.01,Synthetic filament tow.
55,Man-made staple fibres,55.02,Artificial filament tow.
55,Man-made staple fibres,55.03,"Synthetic staple fibres, not carded, combed or otherwise"
55,Man-made staple fibres,55.04,"Artificial staple fibres, not carded, combed or otherwise"
55,Man-made staple fibres,55.05,"Waste (including noils, yarn waste and garnetted stock) of man-"
55,Man-made staple fibres,55.06,"Synthetic staple fibres, carded, combed or otherwise processed"
55,Man-made staple fibres,55.07,
55,Man-made staple fibres,55.08,"Sewing thread of man-made staple fibres, whether or not put up"
55,Man-made staple fibres,55.09,"Yarn (other than sewing thread) of synthetic staple fibres, not"
55,Man-made staple fibres,55.10,"Yarn (other than sewing thread) of artificial staple fibres, not put"
55,Man-made staple fibres,55.11,"Yarn (other than sewing thread) of man-made staple fibres, put"
55,Man-made staple fibres,55.12,"Woven fabrics of synthetic staple fibres, containing 85 % or more"
55,Man-made staple fibres,55.13,"Woven fabrics of synthetic staple fibres, containing less than"
55,Man-made staple fibres,55.14,"Woven fabrics of synthetic staple fibres, containing less than"
55,Man-made staple fibres,55.15,Other woven fabrics of synthetic staple fibres.
55,Man-made staple fibres,55.16,Woven fabrics of artificial staple fibres.
56,"Wadding, felt and nonwovens; special yarns;",56.01,"Wadding of textile materials and articles thereof; textile fibres,"
56,"Wadding, felt and nonwovens; special yarns;",56.02,"Felt, whether or not impregnated, coated, covered or laminated."
56,"Wadding, felt and nonwovens; special yarns;",56.03,"Nonwovens, whether or not impregnated, coated, covered or"
56,"Wadding, felt and nonwovens; special yarns;",56.04,"Rubber thread and cord, textile covered; textile yarn, and strip"
56,"Wadding, felt and nonwovens; special yarns;",56.05,
56,"Wadding, felt and nonwovens; special yarns;",56.06,
56,"Wadding, felt and nonwovens; special yarns;",56.07,"Twine, cordage, ropes and cables, whether or not plaited or"
56,"Wadding, felt and nonwovens; special yarns;",56.08,"Knotted netting of twine, cordage or rope; made up fishing nets"
56,"Wadding, felt and nonwovens; special yarns;",56.09,
57,Carpets and other textile floor coverings,57.01,"Carpets and other textile floor coverings, knotted, whether or not"
57,Carpets and other textile floor coverings,57.02,"Carpets and other textile floor coverings, woven, not tufted or"
57,Carpets and other textile floor coverings,57.03,"Carpets and other textile floor coverings (including turf), tufted,"
57,Carpets and other textile floor coverings,57.04,"Carpets and other textile floor coverings, of felt, not tufted or"
57,Carpets and other textile floor coverings,57.05,
58,Special woven fabrics; tufted textile fabrics;,58.01,"Woven pile fabrics and chenille fabrics, other than fabrics of"
58,Special woven fabrics; tufted textile fabrics;,58.02,"Terry towelling and similar woven terry fabrics, other than"
58,Special woven fabrics; tufted textile fabrics;,58.03,
58,Special woven fabrics; tufted textile fabrics;,58.04,"Tulles and other net fabrics, not including woven, knitted or"
58,Special woven fabrics; tufted textile fabrics;,58.05,
58,Special woven fabrics; tufted textile fabrics;,58.06,"Narrow woven fabrics, other than goods of heading 58.07;"
58,Special woven fabrics; tufted textile fabrics;,58.07,"Labels, badges and similar articles of textile materials, in the"
58,Special woven fabrics; tufted textile fabrics;,58.08,"Braids in the piece; ornamental trimmings in the piece, without"
58,Special woven fabrics; tufted textile fabrics;,58.09,
58,Special woven fabrics; tufted textile fabrics;,58.10,"Embroidery in the piece, in strips or in motifs."
58,Special woven fabrics; tufted textile fabrics;,58.11,
59,"Impregnated, coated, covered or laminated textile fabrics;",59.01,"Textile fabrics coated with gum or amylaceous substances, of a"
59,"Impregnated, coated, covered or laminated textile fabrics;",59.02,Tyre cord fabric of high tenacity yarn of nylon or other
59,"Impregnated, coated, covered or laminated textile fabrics;",59.03,"Textile fabrics impregnated, coated, covered or laminated with"
59,"Impregnated, coated, covered or laminated textile fabrics;",59.04,"Linoleum, whether or not cut to shape; floor coverings consisting"
59,"Impregnated, coated, covered or laminated textile fabrics;",59.05,
59,"Impregnated, coated, covered or laminated textile fabrics;",59.06,"Rubberised textile fabrics, other than those of heading 59.02."
59,"Impregnated, coated, covered or laminated textile fabrics;",59.07,
59,"Impregnated, coated, covered or laminated textile fabrics;",59.08,
59,"Impregnated, coated, covered or laminated textile fabrics;",59.09,
59,"Impregnated, coated, covered or laminated textile fabrics;",59.10,
59,"Impregnated, coated, covered or laminated textile fabrics;",59.11,"Textile products and articles, for technical uses, specified in"
60,Knitted or crocheted fabrics,60.01,"Pile fabrics, including “long pile” fabrics and terry fabrics,"
60,Knitted or crocheted fabrics,60.02,"Knitted or crocheted fabrics of a width not exceeding 30 cm,"
60,Knitted or crocheted fabrics,60.03,"Knitted or crocheted fabrics of a width not exceeding 30 cm,"
60,Knitted or crocheted fabrics,60.04,"Knitted or crocheted fabrics of a width exceeding 30 cm,"
60,Knitted or crocheted fabrics,60.05,Warp knit fabrics (including those made on galloon knitting
60,Knitted or crocheted fabrics,60.06,Other knitted or crocheted fabrics.
61,"Articles of apparel and clothing accessories,",61.01,"Men's or boys' overcoats, car-coats, capes, cloaks, anoraks"
61,"Articles of apparel and clothing accessories,",61.02,"Women's or girls' overcoats, car-coats, capes, cloaks, anoraks"
61,"Articles of apparel and clothing accessories,",61.03,"Men's or boys' suits, ensembles, jackets, blazers, trousers, bib"
61,"Articles of apparel and clothing accessories,",61.04,"Women's or girls' suits, ensembles, jackets, blazers, dresses,"
61,"Articles of apparel and clothing accessories,",61.05,"Men's or boys' shirts, knitted or crocheted."
